MR,CR,PS,GEN,NORMGENA,NORMGENB,,
0.2,0.2,10,44264,0.822944,0.9649646869,,
0.2,0.2,20,12471,0.950116,0.9802582058,,
0.2,0.2,30,8644,0.965424,0.9794746128,,
0.2,0.2,40,6919,0.972324,0.9780942227,,
0.2,0.2,50,4897,0.980412,0.9806199249,,
0.2,0.2,60,5459,0.978164,0.9740749447,,
0.2,0.2,70,3404,0.986384,0.9811399458,,
0.2,0.2,80,3915,0.98434,0.9752099673,,
0.2,0.2,90,4774,0.980904,0.9659920643,,
0.2,0.2,100,3560,0.98576,0.9718223128,,
0.2,0.4,10,16982,0.932072,0.98655861,,
0.2,0.4,20,8126,0.967496,0.9871364109,,
0.2,0.4,30,4684,0.981264,0.9888777286,,
0.2,0.4,40,3816,0.984736,0.9879184208,,
0.2,0.4,50,3127,0.987492,0.9876247714,,
0.2,0.4,60,2079,0.991684,0.9901267284,,
0.2,0.4,70,2314,0.990744,0.9871791523,,
0.2,0.4,80,1602,0.993592,0.9898560326,,
0.2,0.4,90,1442,0.994232,0.9897278083,,
0.2,0.4,100,1674,0.993304,0.9867501549,,
0.2,0.6,10,7196,0.971216,0.9943043079,,
0.2,0.6,20,5014,0.979944,0.9920627571,,
0.2,0.6,30,2508,0.989968,0.9940446933,,
0.2,0.6,40,2734,0.989064,0.9913440678,,
0.2,0.6,50,1826,0.992696,0.9927735313,,
0.2,0.6,60,1781,0.992876,0.9915419448,,
0.2,0.6,70,1510,0.99396,0.9916337597,,
0.2,0.6,80,1475,0.9941,0.9906602048,,
0.2,0.6,90,845,0.99662,0.9939805811,,
0.2,0.6,100,808,0.996768,0.9936046148,,
0.2,0.8,10,5751,0.976996,0.9954480371,,
0.2,0.8,20,2865,0.98854,0.9954646588,,
0.2,0.8,30,1725,0.9931,0.9959039457,,
0.2,0.8,40,1557,0.993772,0.9950704878,,
0.2,0.8,50,1431,0.994276,0.9943367598,,
0.2,0.8,60,1242,0.995032,0.9941016819,,
0.2,0.8,70,780,0.99688,0.9956783659,,
0.2,0.8,80,906,0.996376,0.9942631495,,
0.2,0.8,90,596,0.997616,0.9957543507,,
0.2,0.8,100,790,0.99684,0.9937470863,,
0.4,0.2,10,56855,0.77258,0.9549988088,,
0.4,0.2,20,18237,0.927052,0.9711305347,,
0.4,0.2,30,14066,0.943736,0.9665999425,,
