MR,CR,POP,GEN,NORMGENA,NORMGENB
0.2,0.2,10,42119,0.8240003677,0.9618106809
0.2,0.2,20,10413,0.9564879467,0.981117055
0.2,0.2,30,6655,0.9721912307,0.9818977242
0.2,0.2,40,5880,0.9754296674,0.9786744038
0.2,0.2,50,3952,0.9834860622,0.9820835978
0.2,0.2,60,5054,0.9788812141,0.9725052135
0.2,0.2,70,3453,0.9855711976,0.9780841418
0.2,0.2,80,3135,0.9869000013,0.977259951
0.2,0.2,90,2752,0.9885004158,0.9775428416
0.2,0.2,100,3071,0.9871674334,0.9721552271
0.2,0.4,10,24017,0.8996418916,0.9782237737
0.2,0.4,20,7493,0.9686895405,0.9864121861
0.2,0.4,30,4088,0.9829177688,0.9888802249
0.2,0.4,40,3480,0.9854583746,0.9873787288
0.2,0.4,50,2196,0.9908237329,0.9900444283
0.2,0.4,60,2098,0.9912332385,0.9885864539
0.2,0.4,70,1335,0.9944215316,0.9915268837
0.2,0.4,80,1640,0.9931470501,0.9881040892
0.2,0.4,90,1634,0.9931721219,0.9866660622
0.2,0.4,100,1314,0.9945092828,0.9880859552
0.2,0.6,10,10970,0.954160451,0.9900534953
0.2,0.6,20,4516,0.981129316,0.9918106809
0.2,0.6,30,2925,0.9877775131,0.992043703
0.2,0.6,40,2142,0.9910493788,0.99223139
0.2,0.6,50,2280,0.9904727282,0.9896636141
0.2,0.6,60,1756,0.9926623293,0.9904470034
0.2,0.6,70,1179,0.9950733976,0.9925170006
0.2,0.6,80,924,0.9961389477,0.9932976698
0.2,0.6,90,768,0.9967908137,0.993732886
0.2,0.6,100,818,0.9965818823,0.9925831898
0.2,0.8,10,8599,0.9640679779,0.9922032823
0.2,0.8,20,3568,0.9850906553,0.9935297851
0.2,0.8,30,2270,0.9905145145,0.9938253695
0.2,0.8,40,1622,0.9932222654,0.994117327
0.2,0.8,50,1247,0.9947892509,0.9943467223
0.2,0.8,60,799,0.9966612762,0.9956532777
0.2,0.8,70,992,0.995854801,0.9937038716
0.2,0.8,80,721,0.9969872092,0.9947701514
0.2,0.8,90,460,0.9980778311,0.9962462599
0.2,0.8,100,506,0.9978856142,0.9954120954
0.4,0.2,10,41044,0.8284923928,0.962785384
0.4,0.2,20,15933,0.9334219202,0.9711070813
0.4,0.2,30,13466,0.9437305955,0.9633711125
0.4,0.2,40,7743,0.9676448835,0.9719176716
0.4,0.2,50,6734,0.9718611191,0.9694713936
0.4,0.2,60,4088,0.9829177688,0.9777604497
0.4,0.2,70,5318,0.9777780564,0.9662471666
0.4,0.2,80,4662,0.9805192363,0.9661836975
0.4,0.2,90,3908,0.9836699218,0.9681095294
0.4,0.2,100,4041,0.9831141643,0.9633602321
0.4,0.4,10,13075,0.945364439,0.9881448907
0.4,0.4,20,6687,0.9720575146,0.9878737873
0.4,0.4,30,6097,0.9745229051,0.9834155408
0.4,0.4,40,3795,0.9841421068,0.9862362862
0.4,0.4,50,3778,0.9842131435,0.9828724272
0.4,0.4,60,3095,0.9870671464,0.9831625714
0.4,0.4,70,2200,0.9908070184,0.986036812
0.4,0.4,80,1939,0.9918976403,0.9859352616
0.4,0.4,90,2521,0.9894656788,0.979427872
0.4,0.4,100,1744,0.9927124728,0.984187143
0.4,0.6,10,10734,0.9551466072,0.9902674767
0.4,0.6,20,5605,0.9765787901,0.9898358872
0.4,0.6,30,2896,0.9878986933,0.9921225859
0.4,0.6,40,3396,0.9858093793,0.9876833802
0.4,0.6,50,3247,0.9864319949,0.9852797171
0.4,0.6,60,1607,0.9932849448,0.9912575936
0.4,0.6,70,1437,0.9939953116,0.9908794995
0.4,0.6,80,1658,0.9930718348,0.9879735243
0.4,0.6,90,1847,0.9922820741,0.9849279173
0.4,0.6,100,1541,0.9935607343,0.986027745
0.4,0.8,10,7358,0.9692536553,0.9933284976
0.4,0.8,20,3816,0.9840543556,0.9930800617
0.4,0.8,30,2466,0.9896955034,0.9932922296
0.4,0.8,40,1605,0.9932933021,0.9941789827
0.4,0.8,50,1700,0.9928963324,0.9922930456
0.4,0.8,60,1727,0.9927835095,0.9906047692
0.4,0.8,70,1051,0.995608262,0.9933294043
0.4,0.8,80,1213,0.9949313242,0.9912013782
0.4,0.8,90,989,0.9958673369,0.9919294587
0.4,0.8,100,769,0.9967866351,0.993027473
0.6,0.2,10,84960,0.644983766,0.9229667241
0.6,0.2,20,39592,0.8345597606,0.9282038263
0.6,0.2,30,34265,0.8568193119,0.9067957204
0.6,0.2,40,25142,0.8949409351,0.9088149424
0.6,0.2,50,23833,0.9004107591,0.8919530329
0.6,0.2,60,14790,0.938198092,0.9195393961
0.6,0.2,70,16434,0.9313284276,0.8956949859
0.6,0.2,80,12736,0.9467809939,0.9076180977
0.6,0.2,90,11841,0.950520866,0.9033738326
0.6,0.2,100,12046,0.9496642472,0.8907788557
0.6,0.4,10,36636,0.846911785,0.9667821199
0.6,0.4,20,21804,0.9088891953,0.9604606039
