R1,FIT1,R2,FIT2,R3,FIT3
1,82,1,66,1,52
2,30,2,35,2,37
3,30,3,35,3,30
4,24.90143237,4,29.33047348,4,27.10953495
5,20.94386057,5,23.72435168,5,23.35137594
6,18.55765928,6,19,6,12
7,17.956555,7,16.00786974,7,12
8,13.51163955,8,13.46965928,8,12
9,13,9,12.2521097,9,12
10,5.228474764,10,9,10,10
11,5.228474764,11,9,11,10
12,7.684859356,12,6.936581651,12,10
13,5.16638895,13,6.936581651,13,7.007785476
14,5.16638895,14,6.936581651,14,4.18336229
15,5.16638895,15,6.877071932,15,4.18336229
16,5.185563057,16,6.877071932,16,4.18336229
17,5.185563057,17,6.877071932,17,4.18336229
18,5.185563057,18,6.081816558,18,3.375331548
19,5.185563057,19,5.300255035,19,2.552416222
20,5.185563057,20,4.490711482,20,1.023995936
21,5.185563057,21,4.490711482,21,1.023995936
22,5.185563057,22,4.255326967,22,1.023995936
23,5.185563057,23,4.255326967,23,1.023995936
24,4.135548107,24,4.255326967,24,1.023995936
25,4.135548107,25,3.75651007,25,1.023995936
26,4.135548107,26,3.75651007,26,1.953912691
27,3.263018425,27,3.75651007,27,1.953912691
28,2.257670046,28,3.243330815,28,1.698934484
29,2.257670046,29,3.10946473,29,1.047991873
30,2.319100234,30,2.99382161,30,1.047991873
31,2.319100234,31,2.99382161,31,1.023995936
32,2.093066572,32,2.99382161,32,1.023995936
33,2.093066572,33,2.99382161,33,1.023995936
34,2.093066572,34,3.029232698,34,1.023995936
35,2.093066572,35,1.688218295,35,1.023995936
36,2.093066572,36,1.688218295,36,1.023995936
37,2.093066572,37,1.688218295,37,1.023995936
38,2.093066572,38,1.688218295,38,0.8821332483
39,2.093066572,39,1.688218295,39,0.8821332483
40,2.093066572,40,1.688218295,40,0.3049593866
41,0.8759445501,41,1.688218295,41,0.3049593866
42,0.8759445501,42,1.688218295,42,0.3049593866
43,0.8759445501,43,1.635319441,43,0.3049593866
44,0.8759445501,44,1.635319441,44,0.3049593866
45,0.8759445501,45,1.635319441,45,0.3049593866
46,0.8759445501,46,1.352040298,46,0.167182508
47,0.8759445501,47,1.352040298,47,0.167182508
